time_bucket,0,1,Total,Bad Rate
"(0.999, 92.5]",69,23,92,0.25
"(92.5, 184.0]",67,25,92,0.2717391304347826
"(184.0, 275.5]",69,22,91,0.24175824175824176
"(275.5, 367.0]",77,15,92,0.16304347826086957
"(367.0, 458.5]",84,7,91,0.07692307692307693
"(458.5, 550.0]",82,10,92,0.10869565217391304
"(550.0, 641.5]",74,17,91,0.18681318681318682
"(641.5, 733.0]",88,4,92,0.043478260869565216
"(733.0, 824.5]",86,5,91,0.054945054945054944
"(824.5, 916.0]",86,6,92,0.06521739130434782
