Model,Accuracy,F1 Score,Precision,Recall,Avg Accuracy (CV),Avg F1 Score (CV)
Logistic Regression,0.8638392857142857,0.3711340206185567,0.6428571428571429,0.2608695652173913,0.8683035714285715,0.38606283750613646
Decision Tree,0.84375,0.2708333333333333,0.48148148148148145,0.18840579710144928,0.8513392857142857,0.2945735602974104
